Albert              en_US    # I have a frog in my throat. No, I mean a real frog!
Alice               it_IT    # Salve, mi chiamo Alice e sono una voce italiana.
Alva                sv_SE    # Hej, jag heter Alva. Jag är en svensk röst.
Amélie              fr_CA    # Bonjour, je m'appelle Amélie. Ma voix est en français canadien.
Amira               ms_MY    # Helo, nama saya Amira. Saya bercakap Bahasa Melayu.
Anna                de_DE    # Hallo, ich heiße Anna und ich bin eine deutsche Stimme.
Bad News            en_US    # I sure like being inside this fancy computer
Bahh                en_US    # Do not pull the wool over my eyes.
Bells               en_US    # Time flies when you are having fun.
Boing               en_US    # Spring has sprung, fall has fell, winter's here and it's colder than usual.
Bubbles             en_US    # I sure like being inside this fancy computer
Carmit              he_IL    # שלום. קוראים לי כרמית, ואני קול בשפה העברית.
Cellos              en_US    # Doo da doo da dum dee dee doodly doo dum dum dum doo da doo da doo da doo da doo da doo da doo
Damayanti           id_ID    # Halo, nama saya Damayanti. Saya berbahasa Indonesia.
Daniel              en_GB    # Hello, my name is Daniel. I am a British-English voice.
Daria               bg_BG    # Здравей, казвам се Дария и съм български глас.
Wobble              en_US    # I sure like being inside this fancy computer
Eddy (Tedesco (Germania)) de_DE    # Hallo! Ich heiße Eddy.
Eddy (Inglese (UK)) en_GB    # Hello! My name is Eddy.
Eddy (Inglese (USA)) en_US    # Hello! My name is Eddy.
Eddy (Spagnolo (Spagna)) es_ES    # ¡Hola! Me llamo Eddy.
Eddy (Spagnolo (Messico)) es_MX    # ¡Hola! Me llamo Eddy.
Eddy (Finlandese (Finlandia)) fi_FI    # Hei! Nimeni on Eddy.
Eddy (Francese (Canada)) fr_CA    # Bonjour! Je m’appelle Eddy.
Eddy (Francese (Francia)) fr_FR    # Bonjour, je m’appelle Eddy.
Eddy (Italiano (Italia)) it_IT    # Ciao! Mi chiamo Eddy.
Eddy (Portoghese (Brasile)) pt_BR    # Olá, meu nome é Eddy.
Ellen               nl_BE    # Hallo, mijn naam is Ellen. Ik ben een Belgisch-Nederlandse stem.
Emma (Premium)      it_IT    # Salve, mi chiamo Emma e sono una voce italiana.
Flo (Tedesco (Germania)) de_DE    # Hallo! Ich heiße Flo.
Flo (Inglese (UK))  en_GB    # Hello! My name is Flo.
Flo (Inglese (USA)) en_US    # Hello! My name is Flo.
Flo (Spagnolo (Spagna)) es_ES    # ¡Hola! Me llamo Flo.
Flo (Spagnolo (Messico)) es_MX    # ¡Hola! Me llamo Flo.
Flo (Finlandese (Finlandia)) fi_FI    # Hei! Nimeni on Flo.
Flo (Francese (Canada)) fr_CA    # Bonjour! Je m’appelle Flo.
Flo (Francese (Francia)) fr_FR    # Bonjour, je m’appelle Flo.
Flo (Italiano (Italia)) it_IT    # Ciao! Mi chiamo Flo.
Flo (Portoghese (Brasile)) pt_BR    # Olá, meu nome é Flo.
Fred                en_US    # I sure like being inside this fancy computer
Good News           en_US    # Congratulations you just won the sweepstakes and you don't have to pay income tax again.
